gameId|platformId|lastUpdate
1|1|E'2020-11-29 19:18:57'
2|2|E'2020-11-29 19:18:57'
2|1|E'2020-11-29 19:18:57'
2|3|E'2020-11-29 19:18:57'
3|1|E'2020-11-29 19:18:57'
4|2|E'2020-11-29 19:18:57'
4|1|E'2020-11-29 19:18:57'
4|3|E'2020-11-29 19:18:57'
5|2|E'2020-11-29 19:18:57'
5|1|E'2020-11-29 19:18:57'
5|3|E'2020-11-29 19:18:57'
6|2|E'2020-11-29 19:18:57'
6|1|E'2020-11-29 19:18:57'
6|3|E'2020-11-29 19:18:57'
7|1|E'2020-11-29 19:18:57'
8|1|E'2020-11-29 19:18:57'
8|2|E'2020-11-29 19:18:57'
9|2|E'2020-11-29 19:18:57'
9|1|E'2020-11-29 19:18:57'
9|3|E'2020-11-29 19:18:57'
10|2|E'2020-11-29 19:18:57'
10|1|E'2020-11-29 19:18:57'
10|3|E'2020-11-29 19:18:57'
11|2|E'2020-11-29 19:18:57'
11|1|E'2020-11-29 19:18:57'
11|4|E'2020-11-29 19:18:57'
11|3|E'2020-11-29 19:18:57'
12|2|E'2020-11-29 19:18:57'
12|1|E'2020-11-29 19:18:57'
12|3|E'2020-11-29 19:18:57'
13|2|E'2020-11-29 19:18:57'
13|1|E'2020-11-29 19:18:57'
13|5|E'2020-11-29 19:18:57'
13|3|E'2020-11-29 19:18:57'
13|6|E'2020-11-29 19:18:57'
14|2|E'2020-11-29 19:18:57'
14|1|E'2020-11-29 19:18:57'
14|4|E'2020-11-29 19:18:57'
14|3|E'2020-11-29 19:18:57'
15|1|E'2020-11-29 19:18:57'
16|2|E'2020-11-29 19:18:57'
16|1|E'2020-11-29 19:18:57'
16|4|E'2020-11-29 19:18:57'
16|7|E'2020-11-29 19:18:57'
16|3|E'2020-11-29 19:18:57'
17|1|E'2020-11-29 19:18:57'
18|2|E'2020-11-29 19:18:57'
18|1|E'2020-11-29 19:18:57'
18|3|E'2020-11-29 19:18:57'
19|2|E'2020-11-29 19:18:57'
19|1|E'2020-11-29 19:18:57'
19|3|E'2020-11-29 19:18:57'
20|2|E'2020-11-29 19:18:57'
20|1|E'2020-11-29 19:18:57'
20|3|E'2020-11-29 19:18:57'
20|8|E'2020-11-29 19:18:57'
21|2|E'2020-11-29 19:18:57'
21|1|E'2020-11-29 19:18:57'
21|3|E'2020-11-29 19:18:57'
22|1|E'2020-11-29 19:18:57'
23|1|E'2020-11-29 19:18:57'
24|2|E'2020-11-29 19:18:57'
24|1|E'2020-11-29 19:18:57'
24|9|E'2020-11-29 19:18:57'
25|1|E'2020-11-29 19:18:57'
25|4|E'2020-11-29 19:18:57'
25|2|E'2020-11-29 19:18:57'
25|10|E'2020-11-29 19:18:57'
26|1|E'2020-11-29 19:18:57'
